prompt_id,diabetes_type,diabetes_label,icd_code,icd_description,complication,complication_phrase,surface_form_index,target_atc_code,target_atc_name,target_atc_l2,template_variant,split,prompt
p0027,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,an otherwise uncomplicated course,3,A10AB01,insulin (human),DRUGS USED IN DIABETES,3,test,"For a patient with Type 1 diabetes mellitus (E10.9) and an otherwise uncomplicated course, the ATC drug category most relevant to diabetes treatment is"
p0028,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,an otherwise uncomplicated course,3,A10AB01,insulin (human),DRUGS USED IN DIABETES,4,test,Medical coding context: diagnosis E10.9 means Type 1 diabetes mellitus without complications. The patient has an otherwise uncomplicated course. The recommended ATC drug is
p0029,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,an otherwise uncomplicated course,3,A10AB01,insulin (human),DRUGS USED IN DIABETES,5,train,Discharge summary: a Type 1 diabetes mellitus patient (code E10.9) was admitted with an otherwise uncomplicated course. First-line ATC drug:
p0030,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,an otherwise uncomplicated course,3,A10AB01,insulin (human),DRUGS USED IN DIABETES,6,train,"Endocrinology consultation: the patient carries the diagnosis Type 1 diabetes mellitus, ICD E10.9, complicated by an otherwise uncomplicated course. The ATC class typically prescribed is"
p0031,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,an otherwise uncomplicated course,3,A10AB01,insulin (human),DRUGS USED IN DIABETES,7,train,EHR snippet — DX: E10.9 Type 1 diabetes mellitus; complications: an otherwise uncomplicated course. Recommended ATC class:
p0032,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,an otherwise uncomplicated course,3,A10AB01,insulin (human),DRUGS USED IN DIABETES,8,train,Pharmacy review for Type 1 diabetes mellitus (E10.9) with an otherwise uncomplicated course: the most appropriate ATC group is
p0033,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,an otherwise uncomplicated course,3,A10AB01,insulin (human),DRUGS USED IN DIABETES,9,train,Case vignette: a middle-aged patient with Type 1 diabetes mellitus (ICD-10 E10.9) and an otherwise uncomplicated course requires therapy. The ATC drug class is
p0034,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,an otherwise uncomplicated course,3,A10AB01,insulin (human),DRUGS USED IN DIABETES,10,train,Outpatient note. Problem list: Type 1 diabetes mellitus (E10.9); an otherwise uncomplicated course. Drug therapy (ATC) selected:
p0035,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,an otherwise uncomplicated course,3,A10AB01,insulin (human),DRUGS USED IN DIABETES,11,train,"Type 1 diabetes mellitus (code E10.9), complicated by an otherwise uncomplicated course. The standard ATC pharmacologic group is"
p0036,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,an otherwise uncomplicated course,3,A10AB01,insulin (human),DRUGS USED IN DIABETES,12,test,Coding audit — patient labelled E10.9 (Type 1 diabetes mellitus); current state: an otherwise uncomplicated course. The ATC drug recommended is
p0037,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no end-organ complications recorded,4,A10AB01,insulin (human),DRUGS USED IN DIABETES,1,train,A patient diagnosed with Type 1 diabetes mellitus (ICD-10: E10.9) presents with no end-organ complications recorded. The recommended ATC drug is
p0038,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no end-organ complications recorded,4,A10AB01,insulin (human),DRUGS USED IN DIABETES,2,train,"Clinical note: Type 1 diabetes mellitus using ICD-10 code E10.9, with no end-organ complications recorded. A plausible ATC medication class is"
p0039,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no end-organ complications recorded,4,A10AB01,insulin (human),DRUGS USED IN DIABETES,3,train,"For a patient with Type 1 diabetes mellitus (E10.9) and no end-organ complications recorded, the ATC drug category most relevant to diabetes treatment is"
p0040,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no end-organ complications recorded,4,A10AB01,insulin (human),DRUGS USED IN DIABETES,4,train,Medical coding context: diagnosis E10.9 means Type 1 diabetes mellitus without complications. The patient has no end-organ complications recorded. The recommended ATC drug is
p0041,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no end-organ complications recorded,4,A10AB01,insulin (human),DRUGS USED IN DIABETES,5,test,Discharge summary: a Type 1 diabetes mellitus patient (code E10.9) was admitted with no end-organ complications recorded. First-line ATC drug:
p0042,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no end-organ complications recorded,4,A10AB01,insulin (human),DRUGS USED IN DIABETES,6,train,"Endocrinology consultation: the patient carries the diagnosis Type 1 diabetes mellitus, ICD E10.9, complicated by no end-organ complications recorded. The ATC class typically prescribed is"
p0043,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no end-organ complications recorded,4,A10AB01,insulin (human),DRUGS USED IN DIABETES,7,train,EHR snippet — DX: E10.9 Type 1 diabetes mellitus; complications: no end-organ complications recorded. Recommended ATC class:
p0044,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no end-organ complications recorded,4,A10AB01,insulin (human),DRUGS USED IN DIABETES,8,train,Pharmacy review for Type 1 diabetes mellitus (E10.9) with no end-organ complications recorded: the most appropriate ATC group is
p0045,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no end-organ complications recorded,4,A10AB01,insulin (human),DRUGS USED IN DIABETES,9,train,Case vignette: a middle-aged patient with Type 1 diabetes mellitus (ICD-10 E10.9) and no end-organ complications recorded requires therapy. The ATC drug class is
p0046,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no end-organ complications recorded,4,A10AB01,insulin (human),DRUGS USED IN DIABETES,10,test,Outpatient note. Problem list: Type 1 diabetes mellitus (E10.9); no end-organ complications recorded. Drug therapy (ATC) selected:
p0047,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no end-organ complications recorded,4,A10AB01,insulin (human),DRUGS USED IN DIABETES,11,train,"Type 1 diabetes mellitus (code E10.9), complicated by no end-organ complications recorded. The standard ATC pharmacologic group is"
p0048,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no end-organ complications recorded,4,A10AB01,insulin (human),DRUGS USED IN DIABETES,12,train,Coding audit — patient labelled E10.9 (Type 1 diabetes mellitus); current state: no end-organ complications recorded. The ATC drug recommended is
p0049,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,no documented complications,1,A10BA02,metformin,DRUGS USED IN DIABETES,1,test,A patient diagnosed with Type 2 diabetes mellitus (ICD-10: E11.9) presents with no documented complications. The recommended ATC drug is
p0050,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,no documented complications,1,A10BA02,metformin,DRUGS USED IN DIABETES,2,test,"Clinical note: Type 2 diabetes mellitus using ICD-10 code E11.9, with no documented complications. A plausible ATC medication class is"
p0051,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,no documented complications,1,A10BA02,metformin,DRUGS USED IN DIABETES,3,train,"For a patient with Type 2 diabetes mellitus (E11.9) and no documented complications, the ATC drug category most relevant to diabetes treatment is"
p0052,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,no documented complications,1,A10BA02,metformin,DRUGS USED IN DIABETES,4,train,Medical coding context: diagnosis E11.9 means Type 2 diabetes mellitus without complications. The patient has no documented complications. The recommended ATC drug is
p0053,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,no documented complications,1,A10BA02,metformin,DRUGS USED IN DIABETES,5,train,Discharge summary: a Type 2 diabetes mellitus patient (code E11.9) was admitted with no documented complications. First-line ATC drug:
p0054,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,no documented complications,1,A10BA02,metformin,DRUGS USED IN DIABETES,6,test,"Endocrinology consultation: the patient carries the diagnosis Type 2 diabetes mellitus, ICD E11.9, complicated by no documented complications. The ATC class typically prescribed is"
p0055,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,no documented complications,1,A10BA02,metformin,DRUGS USED IN DIABETES,7,test,EHR snippet — DX: E11.9 Type 2 diabetes mellitus; complications: no documented complications. Recommended ATC class:
p0056,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,no documented complications,1,A10BA02,metformin,DRUGS USED IN DIABETES,8,test,Pharmacy review for Type 2 diabetes mellitus (E11.9) with no documented complications: the most appropriate ATC group is
p0057,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,no documented complications,1,A10BA02,metformin,DRUGS USED IN DIABETES,9,train,Case vignette: a middle-aged patient with Type 2 diabetes mellitus (ICD-10 E11.9) and no documented complications requires therapy. The ATC drug class is
p0058,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,no documented complications,1,A10BA02,metformin,DRUGS USED IN DIABETES,10,test,Outpatient note. Problem list: Type 2 diabetes mellitus (E11.9); no documented complications. Drug therapy (ATC) selected:
p0059,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,no documented complications,1,A10BA02,metformin,DRUGS USED IN DIABETES,11,train,"Type 2 diabetes mellitus (code E11.9), complicated by no documented complications. The standard ATC pharmacologic group is"
p0060,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,no documented complications,1,A10BA02,metformin,DRUGS USED IN DIABETES,12,train,Coding audit — patient labelled E11.9 (Type 2 diabetes mellitus); current state: no documented complications. The ATC drug recommended is
p0061,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,no diabetes-related complications,2,A10BA02,metformin,DRUGS USED IN DIABETES,1,train,A patient diagnosed with Type 2 diabetes mellitus (ICD-10: E11.9) presents with no diabetes-related complications. The recommended ATC drug is
p0062,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,no diabetes-related complications,2,A10BA02,metformin,DRUGS USED IN DIABETES,2,train,"Clinical note: Type 2 diabetes mellitus using ICD-10 code E11.9, with no diabetes-related complications. A plausible ATC medication class is"
p0063,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,no diabetes-related complications,2,A10BA02,metformin,DRUGS USED IN DIABETES,3,train,"For a patient with Type 2 diabetes mellitus (E11.9) and no diabetes-related complications, the ATC drug category most relevant to diabetes treatment is"
p0064,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,no diabetes-related complications,2,A10BA02,metformin,DRUGS USED IN DIABETES,4,train,Medical coding context: diagnosis E11.9 means Type 2 diabetes mellitus without complications. The patient has no diabetes-related complications. The recommended ATC drug is
p0065,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,no diabetes-related complications,2,A10BA02,metformin,DRUGS USED IN DIABETES,5,train,Discharge summary: a Type 2 diabetes mellitus patient (code E11.9) was admitted with no diabetes-related complications. First-line ATC drug:
p0066,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,no diabetes-related complications,2,A10BA02,metformin,DRUGS USED IN DIABETES,6,train,"Endocrinology consultation: the patient carries the diagnosis Type 2 diabetes mellitus, ICD E11.9, complicated by no diabetes-related complications. The ATC class typically prescribed is"
p0067,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,no diabetes-related complications,2,A10BA02,metformin,DRUGS USED IN DIABETES,7,test,EHR snippet — DX: E11.9 Type 2 diabetes mellitus; complications: no diabetes-related complications. Recommended ATC class:
p0068,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,no diabetes-related complications,2,A10BA02,metformin,DRUGS USED IN DIABETES,8,train,Pharmacy review for Type 2 diabetes mellitus (E11.9) with no diabetes-related complications: the most appropriate ATC group is
p0069,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,no diabetes-related complications,2,A10BA02,metformin,DRUGS USED IN DIABETES,9,test,Case vignette: a middle-aged patient with Type 2 diabetes mellitus (ICD-10 E11.9) and no diabetes-related complications requires therapy. The ATC drug class is
p0070,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,no diabetes-related complications,2,A10BA02,metformin,DRUGS USED IN DIABETES,10,test,Outpatient note. Problem list: Type 2 diabetes mellitus (E11.9); no diabetes-related complications. Drug therapy (ATC) selected:
p0071,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,no diabetes-related complications,2,A10BA02,metformin,DRUGS USED IN DIABETES,11,train,"Type 2 diabetes mellitus (code E11.9), complicated by no diabetes-related complications. The standard ATC pharmacologic group is"
p0072,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,no diabetes-related complications,2,A10BA02,metformin,DRUGS USED IN DIABETES,12,train,Coding audit — patient labelled E11.9 (Type 2 diabetes mellitus); current state: no diabetes-related complications. The ATC drug recommended is
p0073,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,an otherwise uncomplicated course,3,A10BA02,metformin,DRUGS USED IN DIABETES,1,train,A patient diagnosed with Type 2 diabetes mellitus (ICD-10: E11.9) presents with an otherwise uncomplicated course. The recommended ATC drug is
p0074,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,an otherwise uncomplicated course,3,A10BA02,metformin,DRUGS USED IN DIABETES,2,train,"Clinical note: Type 2 diabetes mellitus using ICD-10 code E11.9, with an otherwise uncomplicated course. A plausible ATC medication class is"
p0075,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,an otherwise uncomplicated course,3,A10BA02,metformin,DRUGS USED IN DIABETES,3,train,"For a patient with Type 2 diabetes mellitus (E11.9) and an otherwise uncomplicated course, the ATC drug category most relevant to diabetes treatment is"
p0076,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,an otherwise uncomplicated course,3,A10BA02,metformin,DRUGS USED IN DIABETES,4,train,Medical coding context: diagnosis E11.9 means Type 2 diabetes mellitus without complications. The patient has an otherwise uncomplicated course. The recommended ATC drug is
p0077,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,an otherwise uncomplicated course,3,A10BA02,metformin,DRUGS USED IN DIABETES,5,test,Discharge summary: a Type 2 diabetes mellitus patient (code E11.9) was admitted with an otherwise uncomplicated course. First-line ATC drug:
p0078,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,an otherwise uncomplicated course,3,A10BA02,metformin,DRUGS USED IN DIABETES,6,test,"Endocrinology consultation: the patient carries the diagnosis Type 2 diabetes mellitus, ICD E11.9, complicated by an otherwise uncomplicated course. The ATC class typically prescribed is"
p0079,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,an otherwise uncomplicated course,3,A10BA02,metformin,DRUGS USED IN DIABETES,7,test,EHR snippet — DX: E11.9 Type 2 diabetes mellitus; complications: an otherwise uncomplicated course. Recommended ATC class:
p0080,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,an otherwise uncomplicated course,3,A10BA02,metformin,DRUGS USED IN DIABETES,8,train,Pharmacy review for Type 2 diabetes mellitus (E11.9) with an otherwise uncomplicated course: the most appropriate ATC group is
p0081,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,an otherwise uncomplicated course,3,A10BA02,metformin,DRUGS USED IN DIABETES,9,test,Case vignette: a middle-aged patient with Type 2 diabetes mellitus (ICD-10 E11.9) and an otherwise uncomplicated course requires therapy. The ATC drug class is
p0082,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,an otherwise uncomplicated course,3,A10BA02,metformin,DRUGS USED IN DIABETES,10,test,Outpatient note. Problem list: Type 2 diabetes mellitus (E11.9); an otherwise uncomplicated course. Drug therapy (ATC) selected:
p0083,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,an otherwise uncomplicated course,3,A10BA02,metformin,DRUGS USED IN DIABETES,11,train,"Type 2 diabetes mellitus (code E11.9), complicated by an otherwise uncomplicated course. The standard ATC pharmacologic group is"
p0084,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,an otherwise uncomplicated course,3,A10BA02,metformin,DRUGS USED IN DIABETES,12,test,Coding audit — patient labelled E11.9 (Type 2 diabetes mellitus); current state: an otherwise uncomplicated course. The ATC drug recommended is
p0085,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,no end-organ complications recorded,4,A10BA02,metformin,DRUGS USED IN DIABETES,1,test,A patient diagnosed with Type 2 diabetes mellitus (ICD-10: E11.9) presents with no end-organ complications recorded. The recommended ATC drug is
p0086,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,no end-organ complications recorded,4,A10BA02,metformin,DRUGS USED IN DIABETES,2,train,"Clinical note: Type 2 diabetes mellitus using ICD-10 code E11.9, with no end-organ complications recorded. A plausible ATC medication class is"
p0087,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,no end-organ complications recorded,4,A10BA02,metformin,DRUGS USED IN DIABETES,3,train,"For a patient with Type 2 diabetes mellitus (E11.9) and no end-organ complications recorded, the ATC drug category most relevant to diabetes treatment is"
p0088,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,no end-organ complications recorded,4,A10BA02,metformin,DRUGS USED IN DIABETES,4,train,Medical coding context: diagnosis E11.9 means Type 2 diabetes mellitus without complications. The patient has no end-organ complications recorded. The recommended ATC drug is
p0089,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,no end-organ complications recorded,4,A10BA02,metformin,DRUGS USED IN DIABETES,5,train,Discharge summary: a Type 2 diabetes mellitus patient (code E11.9) was admitted with no end-organ complications recorded. First-line ATC drug:
p0090,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,no end-organ complications recorded,4,A10BA02,metformin,DRUGS USED IN DIABETES,6,train,"Endocrinology consultation: the patient carries the diagnosis Type 2 diabetes mellitus, ICD E11.9, complicated by no end-organ complications recorded. The ATC class typically prescribed is"
p0091,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,no end-organ complications recorded,4,A10BA02,metformin,DRUGS USED IN DIABETES,7,train,EHR snippet — DX: E11.9 Type 2 diabetes mellitus; complications: no end-organ complications recorded. Recommended ATC class:
p0092,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,no end-organ complications recorded,4,A10BA02,metformin,DRUGS USED IN DIABETES,8,test,Pharmacy review for Type 2 diabetes mellitus (E11.9) with no end-organ complications recorded: the most appropriate ATC group is
p0093,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,no end-organ complications recorded,4,A10BA02,metformin,DRUGS USED IN DIABETES,9,train,Case vignette: a middle-aged patient with Type 2 diabetes mellitus (ICD-10 E11.9) and no end-organ complications recorded requires therapy. The ATC drug class is
p0094,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,no end-organ complications recorded,4,A10BA02,metformin,DRUGS USED IN DIABETES,10,train,Outpatient note. Problem list: Type 2 diabetes mellitus (E11.9); no end-organ complications recorded. Drug therapy (ATC) selected:
p0095,type2,Type 2 diabetes mellitus,E11.9,Type 2 diabetes mellitus without complications,none,no end-organ complications recorded,4,A10BA02,metformin,DRUGS USED IN DIABETES,11,train,"Type 2 diabetes mellitus (code E11.9), complicated by no end-organ complications recorded. The standard ATC pharmacologic group is"
